id,target,hobby_0,hobby_1,hobby_2,age_0,age_1,age_2,age_3,educational_level_0,educational_level_1,educational_level_2,educational_level_3,marital_status_0,marital_status_1,marital_status_2,marital_status_3
98,2,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1
99,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0
100,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0
101,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0
102,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0
103,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0
104,2,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0
105,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0
106,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0
107,2,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1
108,2,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0
109,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0
110,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0
111,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0
112,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0
113,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0
114,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0
115,2,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1
116,2,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0
117,1,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0
118,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0
119,2,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0
120,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0
121,2,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1
122,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0
123,2,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1
124,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0
125,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0
126,2,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0
127,2,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0
128,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0
129,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0
130,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0
131,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0
132,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0
133,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0
134,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0
135,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0
136,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0
137,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0
138,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0
139,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0
140,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0
141,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0
142,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0
143,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
144,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0
145,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0
146,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0
147,1,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0
148,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0
149,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0
150,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0
151,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0
152,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0
153,1,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0
154,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0
155,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0
156,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0
157,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0
158,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0
159,2,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1
